State,Locality ,Name,Type ,Founding Date
NH,Hanover,First Social Library,Social,1801
NH,"Hanover, Lebanon, & Canaan","Hanover, Lebanon and Canaan Philosophical Library",Social,1835
NH,Hanover,Second Social Library,Social,1819
NH,Haverhill,Aurelian Social Library,Social,1812
NH,Haverhill,North Social Library,Social,1829
NH,Haverhill,Second Social Library,Social,1845
NH,Haverhill,Social Library,Social,1801
NH,Haverhill,South Social Library,Social,1829
NH,Henniker,Social Library,Social,1803
NH,Hinsdale,Social Library,Social,1802
NH,Holderness,Holderness Union Library,Social,1823
NH,Hopkinton,Public Library Association,Social,1871
NH,Jackson,Social Library,Social,1827
NH,Keene,Social Library,Social,1801
NH,Kingston,Social Library,Social,1801
NH,Laconia,Meredith Bridge Social Library,Social,1803
NH,Lancaster,Public Library,Social,1867
NH,Lancaster,Social Library,Social,1805
NH,Landaff,Social Library,Social,1802
NH,Langdon,Langdon Librarian Society,Social,1808
NH,Lebanon,Social Library,Social,1802
NH,Lee,Social Library,Social,1814
NH,Lisbon,Village Library,Social,1865
NH,Litchfield,Social Library,Social,1822
NH,Littleton,Proprietors of the Glynville Library,Social,1813
NH,Littleton,Social Library,Social,1801
NH,Littleton,Village Library,Social,1867
NH,London,Library of Soncook Village,Social,1819
NH,Londonderry,Social Library,Social,1830
NH,Londonderry,Union Library,Social,1828
NH,Lyman,Social Library,Social,1805
NH,Lyndeborough,Franklin Library Association,Social,1851
NH,Manchester,Art Association Library,Art society,1871
NH,Marlow,Social Library,Social,1802
NH,Mason,Social Library,Social,1802
NH,Mason,Souhegan Village Social Library,Social,1826
NH,Middleton,Social Library,Social,1816
NH,Milton,Social Library,Social,1822
NH,Moultonborough,Moultonborough Social Library,Social,1810
NH,Mount Vernon,Mount Vernon Circulating Library,Social,1816
NH,Nelson,Nelson Library Society,Social,1825
NH,Nelson,Nelson Philosophical Library,Social,1815
NH,New Boston,Social Library,Social,1801
NH,New Boston,Union Library Association,Social,1835
NH,New Hampton,Literary Adelphi Library,Social,1852
NH,New Hampton,Social Library,Social,1813
NH,New Ipswich,Social Library,Social,1831
NH,New London,Social Library,Social,1801
NH,New Market,Library Assoc.,Social,1850
NH,New Market,Social Library,Social,1801
NH,Newport,Periodical Club,Social,1844
NH,Newport,Social Library,Social,1803
NH,Newton,Newton Library,Social,1805
NH,North Hampton,Social Library,Social,1812
NH,Northfield,Northfield Fraternal Library Society,Social,1840
NH,Northfield,Northfield Improving Society for the Promotion of Useful Knowledge Inc.,Social,1818
NH,Northfield,Social Library,Social,1803
NH,Northwood,Social Library,Social,1803
NH,Nottingham,Social Library,Social,1802
NH,Orford,Orford Union Library,Social,1851
NH,Ossipee and Wolfeborough,Ossipee & Wolfeborough Union Library,Social,1807
NH,Pembroke,Social Library,Social,1801
NH,"Pemigewasset, Peeling","Peeling, Pemigewasset Social Library",Social,1827
NH,Penacook,Library Assoc.,Social,1866
NH,Peterborough,Library Company,Social,1833
NH,Peterborough,Ministerial Library,Religious social,1836
NH,Pittsfield,Social Library,Social,1804
NH,Plainfield,Social Library,Social,1805
NH,Plymouth,Social Library,Social,1807
NH,Poplin,Social Library,Social,1807
NH,Portsmouth,South Parish Library,Religious social,1820
NH,Rindge,Rindge Circulating Library,Social,1825
NH,Rindge,Rindge Library,Social,1810
NH,Rumney,Rumney Circulating Library,Social,1824
NH,Rumney,Rumney Librarian Society,Social,1808
NH,Rye,Social Library,Social,1812
NH,Salmon Falls,Salmon Falls Library Assoc.,Social,1846
NH,Sanbornton,Second Social Library,Social,1811
NH,Sandwich,Sandwich Social Library,Social,1810
NH,Seabrook,Social Library,Social,1829
NH,Shaker Village,Shaker Village Community Library,Social,1854
NH,Shoreham,Shoreham Union Library Society,Social,1821
NH,Sommersworth,Manufacturers' and Village Library,Social,1841
NH,Springfield,Social Library,Social,1803
NH,Stewartstown,Social Library,Social,1830
NH,Sullivan,Social Library,Social,1818
NH,Surry,Social Library,Social,1802
NH,Sutton,South Sutton Central Social Library,Social,1824
NH,Swanzey,Social Library,Social,1802
NH,Troy,Social Library,Social,1826
NH,Tuftonborough,Social Library,Social,1808
NH,Union,Village Library,Social,1854
NH,Unity,Social Library,Social,1803
NH,Warner,Farmers' and Mechanics' Library,Agricultural social,1841
NH,Warren,Warren Circulating Library,Social,1808
NH,Weare,The Friends' Library,Social,1809
NH,Weare,Union Library,Social,1829
NH,Wendell,Social Library,Social,1804
NH,Wentworth,Library Assoc.,Social,1874
NH,West Lebanon,Library Assoc.,Social,1869
NH,West Lebanon,Tilden Library,Social,1854
NH,Whitefield,Social Library,Social,1828
NH,Wilton,Columbian Library,Social,1803
NH,Wilton,Ministerial Library,Religious social,1824
NH,Wincehster,Washington Library Assoc.,Social,1813
NH,Windham,Second Town Library,Social,1851
NH,Sandown,First Social Library,Social,1820
NH,Windham,Social Library,Social,1806
NH,Wolfborough,Public Library Assoc.,Social,1867
NH,Wolfeborough,Republican Social Library of Wolfeborough,Social,1804
NJ,Newark,Howard Lodge No. 7 Library,Fraternal organization,1873
NJ,Newark,Young Men's Society,Young Men's Assoc.,1833
NJ,Trenton,Grand Lodge,Fraternal organization,1844
NJ,Trenton,South Trenton Lodge 36,Fraternal organization,1870
NY,Albany,Young Men's Association,Young Men's Assoc.,1833
NY,Auburn,Celtic Library and Benevolent Assoc.,Social,1873
NY,Batavia,Batavia Library,Social,1804
NY,Batavia,Batavia Assoc.,Social,1872
NY,Bath,Library Assoc.,Social,1869
NY,Binghamton,Library Assoc.,Social,1874
NY,Binghamton,Ollapod Club,Social,1869
NY,Binghamton,Sherwood Hollow Farmers' Club,Social,1873
NY,Brooklyn,City Library,Social,1839
NY,Brooklyn,Hamilton Assoc.,Social,1830
NY,Buffalo,Buffalo Library,Social,1836
NY,Buffalo,Buffalo Choral Union,Musical society,1871
NY,Buffalo,Young Men's Assoc.,Young Men's Assoc.,1835
NY,Buffalo,Young Men's Christian Union,Young Men's Assoc.,1852
NY,Canandaigua,Franklin Library Assoc.,Social,1833
NY,Canandaigua,Ontario Union Library,Social,1820
NY,Canandaigua,1st Socl. Library,Social,1811
NY,Canandaigua,Wood Library,Social,1854
NY,Carmel,Village Library,Social,1866
NY,Champlain,Champlain Library,Social,1807
NY,Charleston,Charleston Library Co.,Social,1805
NY,Clarkson,Library Co. of Clarkson and Murray,Social,1822
NY,Cold Spring,Library Assoc.,Social,1866
NY,College Point,Harmonic Library,Social,1855
NY,College Point,Krakehlia Library,Social,1866
NY,Corning,Corning Library,Social,1873
NY,Cornwall,Cornwall Circulating Library,Social,1869
NY,Cuba,Circulating Library,Social,1872
NY,Dunkirk,Library,Social,1838
NY,Dunkirk,Public Library,Social,1872
NY,East Hampton,Library Co.,Social,1805
NY,Flushing,Library Assoc.,Social,1858
NY,Glens Falls,Library Assoc.,Social,1841
NY,Havana,Havana Library,Social,1873
NY,Henrietta,Library Co. of Henrietta,Social,1824
NY,Hornellsville,Hornell Library,Social,1868
NY,Hudson,Franklin Library Assoc.,Social,1837
NY,Huntington,Public Library,Social,1875
NY,Jamestown,City Circulating Library,Social,1874
NY,Matteawan,Howland Circulating Library,Social,1872
NY,Mendon,Library Assoc. of Mendon,Social,1832
NY,Mumford,Social Library,Social,1835
NY,New York,New York City Academy of Design,Art society,1826
NY,New York,American Institute,Social,1833
NY,New York,First Ward Free Circulating Library,Social,1866
NY,New York,Free Reading Room & Library,Social,1869
NY,New York,"Grand Lodge, Free and Accepted Masons Library",Fraternal organization,1870
NY,Harlem,Harlem Library Assoc.,Social,1826
NY,New York,Harlem Library,Fraternal organization,1864
NY,Liederkranz,German Liederkranz of the City of New York,Musical society,1864
NY,New York,Metropolitan Museum of Art Library,Art society,1872
NY,New York,New York Philharmonic Society,Musical society,1843
NY,Rochester,Young Men's Association,Young Men's Assoc.,1838
NY,Rochester,The Library of the Young Men's Society of Rochester,Young Men's Assoc.,1833
NY,Tarrytown,Young Men's Lyceum,Young Men's Assoc.,1866
NY,Troy,Young Men's Assoc.,Young Men's Assoc.,1834
NC,Fayetteville,Cross Creek Lodge,Fraternal organization,1846
OH,Gambier,Kenyon College,College,1826
OH,Toledo,Young Men's Assoc.,Young Men's Assoc.,1837
OH,West Canaan,Young Men's Book Assoc.,Young Men's Assoc.,1845
OR,Albany,Albany Library & Lit. Inst.,Social,1856
OR,Amity,,Social,1849
OR,Benton Co.,,Social,1870
OR,Corvallis,Corvallis Library Assoc.,Social,1873
OR,Eugene,Eugene Library,Social,1874
WA,Ft. Vancouver,,Social,1833
OR,Oregon City,Multnomah Circulating Library,Social,1841
OR,Multnomah Masonic Lodge,Multnomah Masonic Lodge,Fraternal organization,1848
OR,Portland,Athenian Library Assoc. of Portland,Social,1863
OR,Portland,Portland Library Assoc.,Social,1851
OR,Portland,Library Assoc.,Social,1864
OR,Salem,I.O.O.F. Lodge,Fraternal organization,1850
PA,Butler,Young Men's Literary Assoc.,Young Men's Assoc.,1857
PA,Erie,Masonic Library,Fraternal organization,1867
PA,Franklin,Franklin Lodge No. 3,Fraternal organization,1873
PA,Lewisburg,University at Lewisburg - Theta Alpha Society,College student society,1850
PA,Meadville,Allegheny College - Allgheny Lit. Society,College student society,1835
PA,Meadville,Allegheny College - Philo-Franklin Lit. Society,College student society,1834
PA,Lancanster,Franklin and Marshall College - Diagnothian Society,College,1835
PA,Lancaster,Franklin and Marshall University - Goethean Soceity,College student society,1835
PA,Mercersburg,Mercersburg College - Society Library,College student society,1866
PA,Mercersburg,Mercersburg College - Society Library,College student society,1866
PA,New Wilmington,Westminster College - Adelphic Society,College student society,1862
PA,New Wilmington,Westminster College - Philomath Society,College student society,1862
PA,Philadelphia,Academy of Fine Arts Library,Art society,1806
PA,Philadelphia,Odd Fellows' Library,Fraternal organization,1846
PA,Philadelphia,Post No. 2 Grand Army Republic 1871 free socl.,Fraternal organization,1871
PA,Philadelphia,Social Art Club,Art society,1874
PA,Philadelphia,University of Pennsylvania - Philomathean Society,College student society,1813
PA,Philadelphia,University of Pennsylvania - Zelosophic Society,College student society,1829
PA,Philadelphia,Young Men's Institute,Young Men's Assoc.,1850
PA,Phoenixville,Young Men's Literary Union,Young Men's Assoc.,1857
PA,Pittsburgh,Western University - Irving Society,College student society,1862
PA,Pittsburgh,Western University of Pennsylvania - Philomathean Society,College student society,1864
PA,Pottsville,Gowen Post No. 23 Grand Army Republic,Fraternal organization,1874
PA,Palmer,Harmonie Maenerchor Library,Musical society,1847
PA,Reading,Youth's and Apprentice's Institute,Young Men's Assoc.,1836
PA,Semin's Grove,Missionary Institute Clionian Literary Society,College student society,1866
PA,Susquehanna Depot,Young Men's Literary Assoc.,Young Men's Assoc.,1858
PA,Swarthmore,Swarthmore College - Delphic Society,College student society,1873
PA,Swarthmore,Swarthmore College - Ennomian Literary Society,College student society,1874
PA,Swarthmore,Swarthmore College - Society Libraries,College student society,1875
PA,Swarthmore,Swarthmore College - Society Libraries,College student society,1875
PA,Tarentum,Odd Fellows' Library,Fraternal organization,1870
PA,Tidioute,Eden Lodge Library,Fraternal organization,1874
PA,Washington,Washington College - Union Society,College student society,1809
PA,Wellsboro,Hermaic Society Library,Young Men's Assoc.,1869
PA,Wilkes-Barre,Kings College - Athenaean Society,College student society,1869
PA,Wilkes-Barre,YMCA,Young Men's Christian Association,1871
RI,Anthony,Free Library,Social,1840
RI,Ashaway,Ashaway Library,Social,1871
RI,Ashton,Ashton Library,Social,1869
RI,Barrington,Barrington Library Society,Social,1806
RI,Burrillville,Burrillville Library Society,Social,1822
RI,Burrellville,Library Assoc.,Social,1862
RI,Burrillville,Pascoag Manton Library,Social,1848
RI,Burrillville,Social Library,Social,1823
RI,Camden,Camden Literary and Library Assoc.,Social,1846
RI,Charlestown,Charlestown Library Assoc.,Social,1849
RI,Charlestown,Social Library,Social,1848
RI,Chepacket,Chepacket Manton Library,Social,1847
RI,Coventry,Coventry Library Society,Social,1806
RI,Cranston,Cranston Library,Social,1848
RI,Cumberland,Cumberland Library,Social,1812
RI,Cumberland,Cumberland Literary Society and Union Library,Social,1820
RI,Cumberland,Woonsocket Falls Library,Social,1830
RI,Exeter,Manton Library,Social,1845
RI,Exeter,Social Library,Social,1848
RI,Foster,Foster Manton Library Society,Social,1847
RI,Foster,Foster Social Library Company,Social,1806
RI,Foster,West Library Society.,Social,1830
RI,Foster,Manton Library,Social,1857
RI,Smithfield,Globe Village Library,Social,1840
RI,Glocester,Gloceter Manton Library,Social,1845
RI,Hopkinton & Richmond,Library Of Hopkinton and Richmond,Social,1848
RI,Jamestown,Philmenian Library Assoc.,Social,1849
RI,Kingston,Kingston Library,Social,1850
RI,Little Compton,Free Public Library Assoc.,Social,1845
RI,Lansdale,Lansdale Library,Social,1849
RI,Middletown,Middletown Free Library,Social,1848
RI,North Kingstown,The Library Society,Social,1821
RI,North Shoreham,Social Library,Social,1848
RI,Old Warwick,Old Warwick Gentlemen's Library,Social,1835
RI,Old Warwick,Old Warwick Library Assoc.,Social,1847
RI,Pawtucket,Pawtucket Library,Social,1852
RI,Pawtucket,Pawtucket Library Society,Social,1809
RI,Pawtuxet,Union Library Assoc.,Social,1851
RI,Providence,Woonasquatucket Library,Social,1875
RI,Scituate,Scituate United Library,Social,1808
RI,Slatensville,Slatensville Library,Social,1848
RI,Smithfield,Lime Rock Library,Social,1838
RI,South Kingstown,Itinerating Library,Social,1848
RI,South Kingston,Social Library,Social,1825
RI,Union,Library of the United Society,Social,1820
RI,Warwick,Warwick Central Library Society,Social,1806
RI,Warwick,Warwick Library Society,Social,1804
RI,West Greenwich,West Greenwich Library Society,Social,1804
RI,Westerly,Pawcatuck Library,Social,1848
RI,Wickford,Library Society,Social,1821
RI,Wickford,Wickford Library,Social,1872
RI,Woonsocket,Carrington Library Assoc.,Social,1850
RI,Woonsocket,Woonsocket Social Library,Social,1853
CO,Denver,Arthur E. Pierce's Reading Room & Circ. Library,Social,1850
SD,Yankton,Library Assoc.,Social,1873
TN,Edgefield,Edgefield Lodge,Fraternal organization,1869
TN,Knoxville,Young Men's Literary Society,Young Men's Assoc.,1841
TN,Memphis,Odd Fellows' Hall and Lodge,Fraternal organization,1848
UT,St. George,Library Assoc.,Social,1873
UT,Salt Lake City,City Library,Social,1872
VT,Arlington,Arlington Library Society,Social,1803
VT,Bennington,Free Library,Social,1865
VT,Bradford,Public Library,Social,1875
VT,Brattleboro,Brattleboro Library Assoc.,Social,1842
VT,Burlington,,Young Men's Assoc.,1860
VT,Calais,Circulating Library,Social,1832
VT,Chelsea,Library Assoc.,Social,1842
VT,Cornwall,Lane Library Assoc.,Social,1858
VT,Cornwall,Young Gentlemen's Society of Cornwall,Young Men's Assoc.,1804
VT,Dorset,Public Library,Social,1871
VT,East Calais,East Calais Circulating Library,Social,1864
VT,Fair Haven,Fair Haven Library Association,Social,1826
VT,Newfane,Fayetteville Library Assoc.,Social,1870
VT,Felchville,Library Assoc. of Reading,Social,1865
VT,Grafton,Public Library,Social,1874
VT,Grand-Isle,Social Library,Social,1810
VT,Hartford,Library Assoc.,Social,1865
VT,Hyde Park,Agricultural Library,Agricultural social,1860
VT,Irasburg,Irasburg Library Assoc.,Social,1867
VT,Lowell,Library Assoc.,Social,1875
VT,Manchester,Burton's Pastoral Library,Religious social,1853
VT,Montpelier,Village Library,Social,1814
VT,Newbury,Village Library,Social,1872
VT,Northfield,Library Assoc.,Social,1871
VT,Pawlet,Periodical Library,Social,1830
VT,Pittsford,Maclure Library,Social,1839
VT,Pittsford,Pittsford Library Company,Social,1832
VT,Pomfret,Social Library,Social,1804
VT,Post Mills Village,Peabody Library,Social,1866
VT,Proctorsville,Library Society,Social,1858
VT,Rochester,Lecture & Library Assoc.,Social,1875
VT,Rochester,Social Library,Social,1801
VT,Royalton,Agricultural Library Assoc.,Agricultural social,1863
VT,Rupert,Union Library Society,Social,1813
VT,Shoreham,Union Library Society,Social,1821
VT,Springfield,Springfield Central Library,Social,1819
VT,Stowe,Social Library,Social,1826
VT,Sutton,Social Library of Burke & Billymead,Social,1810
VT,Wells River,Library Assoc.,Social,1848
VT,Williamstown,Social Library,Social,1801
VT,Woodstock,Woodstock Library Society,Social,1820
VA,Norfolk,Odd Fellows' Library,Fraternal organization,1871
WA,Olympia,Tacoma Library,Social,1869
WA,Seattle,Seattle Library Assoc.,Social,1868
WA,Steilacoom,Steilacoom Library Assoc.,Social,1858
WA,Vancouver,Hudson's Bay 1st Circulating Library,Social,1821
WA,Walla Walla,"Walla Walla Library Assoc., Inc.",Social,1865
WI,Fond du Lac,Young Men's Assoc.,Young Men's Assoc.,1863
WI,Janesville,Young Men's Assoc.,Young Men's Assoc.,1865
WI,Kenosha,Odd Fellows' Library,Fraternal organization,1850
WI,Milwaukee,Grand Lodge Library,Fraternal organization,1843
WI,Milwaukee,Young Men's Assoc.,Young Men's Assoc.,1847
WI,Platteville,Young Men's Assoc.,Young Men's Assoc.,1868
WI,Watertown,Young Men's Assoc.,Young Men's Assoc.,1857
WY,Cheyenne,Cheyenne Library,Social,1872
WY,Laramie,Wyoming Library & Literary Assoc.,Social,1869
CO,Denver,Newstand Library,Commercial circulating,1859
CT,Chesire,Chesire Library Association,Social,1854
CT,Windsor,Poquonock Social Library,Social,1828
HI,Honolulu,Honolulu Circulating Library Assoc.,Social,1853
KS,Burlington,,Social,1875
KS,Coal Creek,Coal Creek Library Assoc.,Social,1859
KS,Emporia,Subscription Library,Social,1869
KS,Leavenworth,A Library,Social,1858
KS,Manhattan,A Library,Social,1856
KS,Seneca,Gardiner Kansas Public Libraries,Social,1863
KS,Vinland,Kansas Public Library,Social,1859
MD,Baltimore,Concordia Club Library of Free Masons,Fraternal organization,1852
MA,Worcester,Worcester Choral Union,Musical society,1872
MN,Plainview,Plainview Library Assoc.,Social,1865
MN,Preston,Library Assoc.,Social,1867
MN,Rochester,Library & Reading Room,Social,1866
MN,St. Cloud,St. Cloud Library Assoc.,Social,1857
MN,St. Peter,Library Assoc.,Social,1856
MN,Sauk Center,Sauk Center Library,Social,1875
MN,Stillwater,Library Association,Social,1866
MN,Stillwater,Reading Room,Social,1858
MN,Taylor's Falls,Taylor's Falls Subscription Library,Social,1864
MN,Wabasha,Subscription Library,Social,1871
MN,Waseca,Waseca County Library,Social,1871
MN,White Bear,White Bear Library Assoc.,Social,1875
MN,Worthington,Library Assoc.,Social,1873
MN,Zumbrota,Literary and Library Assoc.,Social,1868
MN,Zumbrota,Public Library Assoc.,Social,1868
MO,Columbia,The Columbia Library,Social,1866
MO,Fayette,Fayette Circulating Library,Social,1826
MO,Hannibal,Garth Memorial Library,Social,1871
NH,Franklin,Library (subscription),Social,1864
NH,Meredith,Meredith Bridge Social Library,Social,1807
NH,Swanzey,Mt. Caesar Library - Subscription,Social,1848
NJ,Bloomfield,Young Men's Literary Union,Young Men's Assoc.,1865
NJ,Orange,Union Lodge Library Company,Fraternal organization,1828
NJ,Paterson,Young Men's Society of Paterson,Young Men's Assoc.,1838
NY,Brooklyn,Library Assoc. of the Eastern District.,Social,1865
NY,Hudson,Clinton Library,Social,1831
NY,Yonkers,Yonkers Young Men's Assoc.,Young Men's Assoc.,1850
RI,Woonsocket,Blackstone Library Assoc.,Social,1855
UT,Alpine City,Alpine City Library Assoc.,Social,1866
UT,American Fork,American Fork Library Assoc.,Social,1865
UT,Beaver City,Beaver City Library Assoc.,Social,1867
UT,Coalville,"Coalville Library Assoc., Inc.",Social,1867
UT,Desaret City,"Desaret City Library Assoc., Inc.",Social,1866
UT,Lehi,Lehi Library Assoc.,Social,1862
UT,Moroni,Moroni City Library,Social,1866
UT,Ogden City,"Ogden Literary, Debating & Library Institution",Social,1864
UT,Provo,Provo Library & Reading Room Assoc.,Social,1867
UT,Tooele,Tooele Library Assoc.,Social,1864
MA,Foxboro,Social Library,Social,1860
TX,Houston,Houston Masonic Library Association,Fraternal organization,1874
WA,Olympia,Alphean Library Assoc.,Social,1860
WA,Port Madison,"Port Madison Library Assoc., Inc.",Social,1864
IN,Clay,"Clay Township, Wayne Co.",Township,1854
MA,Newton Centre,Newton Centre Library Association,Social,1859
RI,Warwick,Old Warwick Library Association,Social,1847
NY,Blooming Grove,Blooming Grove Library Association,Social,1836
NY,Louisville,Butternuts Library,Social,1815
NH,Dover,Dover Agricultural Library,Agricultural social,1862
MA,Boston,Young Men's Christian Union,Young Men's Christian Association,1852
ME,Bath,Young Men's Debating Club,Young Men's Assoc.,1853
CT,Hartford,Hartford Theological Seminary,Theological seminary,1834
MO,St. Louis,Washington University Law Library,Law school,1867
NY,Clay,Clay and Lysander Library,Public,1840
WA,Ft. Vancouver,"Ft. Vancouver, Hudson's Bay Company",Social,1833
